episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
245,2026-05-12T21:14:29.128,0.532625,0.000993,0.400000,0,2,1.120,2.164465,-0.330335
246,2026-05-12T21:14:32.820,0.532350,0.000993,-1.600000,0,1,2.846,2.318700,-0.343976
247,2026-05-12T21:14:37.575,0.532075,0.000993,-1.600000,0,1,3.943,2.386502,-0.350556
248,2026-05-12T21:14:41.403,0.531800,0.000993,-1.600000,0,1,3.017,2.455851,-0.357142
249,2026-05-12T21:14:45.359,0.531525,0.000993,-1.600000,0,1,3.152,2.513476,-0.363868
250,2026-05-12T21:14:47.233,0.531250,0.000993,0.400000,0,2,1.075,2.334754,-0.373395
251,2026-05-12T21:14:49.072,0.530975,0.000993,0.800000,0,2,1.023,2.289824,-0.387770
252,2026-05-12T21:14:50.926,0.530700,0.000993,0.400000,0,2,1.054,2.240923,-0.401682
253,2026-05-12T21:14:52.762,0.530425,0.000993,0.800000,0,2,1.033,2.150658,-0.414691
254,2026-05-12T21:14:56.382,0.530150,0.000993,-1.600000,0,1,2.841,2.999755,-0.425231
255,2026-05-12T21:14:58.352,0.529875,0.000993,0.800000,0,2,1.161,2.087357,-0.434283
256,2026-05-12T21:15:00.508,0.529600,0.000993,0.800000,0,2,1.331,2.022646,-0.447906
257,2026-05-12T21:15:04.533,0.529325,0.000993,-2.000000,0,1,3.194,3.314409,-0.461193
258,2026-05-12T21:15:08.471,0.529050,0.000993,-1.600000,0,1,3.122,3.396442,-0.468920
259,2026-05-12T21:15:10.454,0.528775,0.000993,0.400000,0,2,1.083,2.099846,-0.478615
260,2026-05-12T21:15:13.485,0.528500,0.000993,0.800000,0,2,2.215,2.146557,-0.493717
261,2026-05-12T21:15:15.446,0.528225,0.000993,0.800000,0,2,1.123,2.146940,-0.507438
262,2026-05-12T21:15:17.408,0.527950,0.000993,0.800000,0,2,1.121,2.024787,-0.518009
263,2026-05-12T21:15:19.372,0.527675,0.000993,0.800000,0,2,1.113,2.008351,-0.526832
264,2026-05-12T21:15:23.066,0.527400,0.000993,-1.600000,0,1,2.893,3.963967,-0.548556
265,2026-05-12T21:15:25.013,0.527125,0.000993,0.800000,0,2,1.137,2.003618,-0.537426
266,2026-05-12T21:15:28.847,0.526850,0.000993,-1.600000,0,1,3.060,3.990817,-0.564286
267,2026-05-12T21:15:30.705,0.526575,0.000993,0.400000,0,2,1.072,2.064074,-0.543149
